state,cityname,mean_household_income
FL,Delray Beach,75596
FL,Boynton Beach,116841
FL,Delray Beach,54360
FL,Tampa,39794
FL,Delray Beach,47694
FL,Delray Beach,65555
FL,Boca Raton,113226
FL,Boca Raton,161770
FL,Boca Raton,95130
FL,Boca Raton,56479
FL,Boca Raton,118320
FL,Boca Raton,116309
FL,Boca Raton,73109
FL,Boca Raton,160492
FL,Tampa,31386
FL,Boca Raton,70868
FL,Boca Raton,56146
FL,Royal Palm Beach,85521
FL,Wellington,122790
FL,Boca Raton,92009
FL,Boca Raton,108154
FL,Boca Raton,64251
FL,Boca Raton,44707
FL,Boca Raton,27449
FL,Wellington,70473
FL,Lutz,85884
FL,Lantana,109781
FL,Wellington,130738
FL,Boca Raton,53670
FL,Royal Palm Beach,100546
FL,Royal Palm Beach,73240
FL,Jupiter,90862
FL,West Palm Beach,54349
FL,West Palm Beach,71392
FL,Royal Palm Beach,104344
FL,Belle Glade,82801
FL,Cocoa,35762
FL,Tampa,52384
FL,Belle Glade,26627
FL,Belle Glade,45383
FL,Hudson,42608
FL,New Port Richey,52472
FL,Holiday,42112
FL,Holiday,40547
FL,Holiday,37779
FL,New Port Richey,33590
FL,Port Richey,42277
FL,Port Richey,65637
FL,Tampa,96833
FL,Port Richey,42436
FL,Hudson,45362
FL,New Port Richey,62283
FL,New Port Richey,27958
FL,New Port Richey,35210
FL,New Port Richey,49471
FL,New Port Richey,86879
FL,New Port Richey,37456
FL,New Port Richey,48236
FL,Spring Hill,56487
FL,Tampa,56865
FL,Clearwater,74083
FL,Land O Lakes,92781
FL,Land O Lakes,75731
FL,Land O Lakes,66437
FL,Wesley Chapel,98454
FL,Wesley Chapel,49488
FL,Dade City,77777
FL,Dade City,43327
FL,Dade City,68596
FL,Zephyrhills,37346
FL,Tampa,85652
FL,Zephyrhills,53047
FL,Zephyrhills,32630
FL,Zephyrhills,47243
FL,St Petersburg,33290
FL,Largo,86711
FL,St Petersburg,34976
FL,St Petersburg,61945
FL,St Petersburg,25955
FL,St Petersburg,35109
FL,St Petersburg,15889
FL,Tampa,69829
FL,St Petersburg,45765
FL,St Petersburg,61982
FL,St Petersburg,63795
FL,St Petersburg,57663
FL,St Petersburg,55537
FL,St Petersburg,49536
FL,St Petersburg,68401
FL,St Petersburg,77796
FL,St Petersburg,53768
FL,St Petersburg,115379
FL,Tampa,54147
FL,St Petersburg,66662
FL,St Petersburg,47405
FL,St Petersburg,46542
FL,St Petersburg,120969
FL,Largo,61101
FL,Largo,34962
FL,Clearwater,53749
FL,St Petersburg,25602
FL,St Petersburg,47660
FL,Pinellas Park,34573
FL,Tampa,52054
FL,Pinellas Park,57611
FL,Largo,48632
FL,Seminole,86441
FL,St Petersburg,38179
FL,Seminole,57456
FL,Seminole,44267
FL,Seminole,40772
FL,Seminole,79324
FL,Largo,94756
FL,Largo,59819
FL,Seffner,49820
FL,Largo,35579
FL,Clearwater,68289
FL,Largo,37679
FL,Clearwater,71783
FL,Clearwater,46841
FL,Largo,37208
FL,Clearwater,38747
FL,Clearwater,82689
FL,Clearwater,32006
FL,Largo,81458
FL,Brandon,54120
FL,Clearwater,82083
FL,Clearwater,62058
FL,Clearwater,41552
FL,Clearwater,108634
FL,Safety Harbor,65991
FL,Dunedin,38991
FL,Dunedin,98599
FL,Dunedin,53688
FL,Clearwater,37096
FL,Dunedin,74277
FL,Plant City,54968
FL,Palm Harbor,35445
FL,Palm Harbor,81561
FL,Dunedin,50923
FL,Tarpon Springs,138384
FL,Palm Harbor,89959
FL,Oldsmar,57052
FL,Oldsmar,75948
FL,Tarpon Springs,43782
FL,Tarpon Springs,63131
FL,Madeira Beach,85854
FL,Viera,73021
FL,Valrico,81539
FL,Madeira Beach,73030
FL,Largo,106411
FL,Gulfport,32828
FL,Gulfport,61531
FL,Gulfport,45857
FL,Lakeland,38865
FL,Lakeland,46585
FL,Lakeland,36749
FL,Lakeland,22967
FL,Lakeland,34596
FL,Brandon,74516
FL,Auburndale,42126
FL,Lakeland,34875
FL,Highland City,51990
FL,Lakeland,78595
FL,Lakeland,70259
FL,Lakeland,63929
FL,Lakeland,74886
FL,Lakeland,53788
FL,Lakeland,84326
FL,Davenport,66595
FL,Brandon,94330
FL,Davenport,62593
FL,Davenport,52461
FL,Winter Haven,72962
FL,Auburndale,70106
FL,Auburndale,39370
FL,Winter Haven,37633
FL,Winter Haven,42134
FL,Winter Haven,40349
FL,Haines City,49718
FL,Dundee,31127
FL,Tampa,41320
FL,Lake Wales,63399
FL,Winter Haven,35870
FL,Mulberry,47442
FL,Lakeland,52506
FL,Bartow,31427
FL,Babson Park,65628
FL,Frostproof,63312
FL,Fort Meade,54748
FL,Palatka,73185
FL,Hawthorne,27821
FL,Gibsonton,64948
FL,Interlachen,39480
FL,Palatka,38148
FL,East Palatka,45303
FL,Crescent City,46060
FL,St Augustine,48695
FL,St Augustine,121540
FL,Ponte Vedra Beach,144728
FL,Saint Johns,100202
FL,Saint Johns,130675
FL,St Augustine,66488
FL,Riverview,90617
FL,St Augustine,67688
FL,St Augustine,94927
FL,Saint Johns,0
FL,Fort Pierce,15719
FL,Fort Pierce,32233
FL,Fort Pierce,31537
FL,Fort Pierce,56315
FL,Fort Pierce,87915
FL,Fort Pierce,58157
FL,Fort Pierce,34885
FL,Ruskin,77866
FL,Port St Lucie,62892
FL,Port St Lucie,61391
FL,Port St Lucie,66740
FL,Port St Lucie,53968
FL,Port St Lucie,61695
FL,Port St Lucie,43109
FL,Port St Lucie,80418
FL,Jay,103719
FL,Milton,52262
FL,Milton,50714
FL,Ruskin,46865
FL,Milton,69414
FL,Milton,60808
FL,Gulf Breeze,66881
FL,Navarre,119511
FL,Navarre,0
FL,Sarasota,74695
FL,Sarasota,45171
FL,Sarasota,33595
FL,Sarasota,114930
FL,Sarasota,105111
FL,St Petersburg,0
FL,Sarasota,72382
FL,Sarasota,66680
FL,Sarasota,57189
FL,Sarasota,86366
FL,Sarasota,65101
FL,Sarasota,57367
FL,Sarasota,70095
FL,Osprey,167036
FL,Sarasota,78840
FL,Sarasota,61080
FL,Bonifay,39349
FL,Osprey,77511
FL,Venice,65114
FL,Venice,74056
FL,Venice,54334
FL,Venice,61907
FL,Englewood,29170
FL,North Port,61354
FL,Venice,63462
FL,Venice,86199
FL,Venice,51631
FL,Melbourne,52854
FL,Vero Beach,104609
FL,Sanford,49486
FL,Sanford,29697
FL,Lake Mary,112671
FL,Lake Mary,80727
FL,Lake Mary,87311
FL,Sanford,34633
FL,Sanford,87489
FL,Winter Springs,77808
FL,Sanford,118924
FL,Oviedo,64494
FL,Vero Beach,43308
FL,Oviedo,60197
FL,Winter Springs,89478
FL,Altamonte Springs,100890
FL,Altamonte Springs,41946
FL,Altamonte Springs,87459
FL,Apopka,81716
FL,Orlando,74691
FL,Altamonte Springs,51681
FL,Altamonte Springs,84355
FL,Fern Park,52572
FL,Fellsmere,45432
FL,Casselberry,48528
FL,Winter Park,55837
FL,Winter Park,35635
FL,Sumterville,44685
FL,Sumterville,53599
FL,Lady Lake,57257
FL,Wildwood,41352
FL,Live Oak,30922
FL,Live Oak,45405
FL,Live Oak,42228
FL,Marianna,47475
FL,Perry,66997
FL,Perry,48955
FL,Lake Butler,41693
FL,Ormond Beach,45472
FL,Ormond Beach,48319
FL,Daytona Beach,29601
FL,Holly Hill,40889
FL,Daytona Beach,46598
FL,Daytona Beach,34620
FL,Daytona Beach,29040
FL,Paisley,41850
FL,Daytona Beach,23305
FL,South Daytona,43893
FL,Port Orange,46112
FL,Port Orange,65220
FL,Port Orange,75354
FL,Port Orange,45617
FL,New Smyrna Beach,66599
FL,New Smyrna Beach,30975
FL,Edgewater,46956
FL,De Leon Springs,101198
FL,Eustis,70753
FL,Port Orange,73656
FL,Deland,27466
FL,Deland,62743
FL,Deland,53096
FL,Deland,51395
FL,Orange City,51727
FL,Debary,54435
FL,Osteen,64906
FL,Deltona,40470
FL,Lake Helen,63078
FL,Lady Lake,59445
FL,Deltona,53976
FL,Daytona Beach,55862
FL,Saint Marks,55511
FL,Defuniak Springs,39698
FL,Defuniak Springs,40847
FL,Ponce De Leon,55575
FL,Santa Rosa Beach,66850
FL,Destin,95685
FL,Vernon,46783
FL,Leesburg,60778
FL,Astatula,66121
FL,Clermont,81344
FL,West Melbourne,71150
FL,Fort Myers,26329
FL,Fort Myers,40852
FL,Ft Myers,63539
FL,Fort Myers Beach,44341
FL,Cape Coral,51977
FL,Cape Coral,58960
FL,Cape Coral,53239
FL,North Fort Myers,34384
FL,Fort Myers,62168
FL,Lehigh Acres,88881
FL,Palm Bay,77331
FL,Lehigh Acres,54820
FL,Lehigh Acres,51688
FL,Lehigh Acres,41746
FL,Fort Myers,97625
FL,Estero,87308
FL,Fort Myers Beach,83339
FL,Boca Grande,111837
FL,Tallahassee,53587
FL,Tallahassee,25903
FL,Tallahassee,32278
FL,Indian Harbour Beach,60579
FL,Tallahassee,59557
FL,Tallahassee,76392
FL,Tallahassee,43979
FL,Tallahassee,58656
FL,Cedar Key,0
FL,Bradenton,29728
FL,Bradenton,41375
FL,Bradenton,48351
FL,Sarasota,70371
FL,Bradenton,71718
FL,Cocoa Beach,65692
FL,Palmetto,55479
FL,Palmetto,83055
FL,Bradenton,90989
FL,Anthony,34582
FL,Weirsdale,61645
FL,Ocala,45556
FL,Ocala,54063
FL,Ocala,71532
FL,Ocala,41748
FL,Jensen Beach,105987
FL,Gainesville,27509
FL,Merritt Island,43173
FL,Palm City,113590
FL,Stuart,70371
FL,Hobe Sound,125331
FL,Sunny Isles Beach,86855
FL,Miami,65160
FL,North Miami Beach,41839
FL,North Miami,36098
FL,Miami,46754
FL,Opa Locka,27081
FL,Miami,33073
FL,Palm Bay,58832
FL,Hialeah,28114
FL,El Portal,45359
FL,Miami,74554
FL,Miami,36637
FL,Miami,29250
FL,Miami,53191
FL,Miami,22164
FL,Bay Harbor Islands,85652
FL,Miami Beach,59750
FL,Miami Beach,117537
FL,Cape Canaveral,0
FL,Miami Beach,39645
FL,Miami,27975
FL,Miami,22526
FL,Miami,59051
FL,Miami,75351
FL,Miami,38795
FL,Miami,91996
FL,Miami,50056
FL,South Miami,49842
FL,Miami,105816
FL,Deerfield Beach,42316
FL,Palmetto Bay,118646
FL,Miami,113112
FL,Miami,56105
FL,Miami,57061
FL,Miami,38096
FL,Miami,62224
FL,Doral,60095
FL,Hialeah,50456
FL,Miami,118452
FL,Miami Gardens,66171
FL,Parkland,118346
FL,Miami Gardens,56873
FL,Miami,35269
FL,Miami,73055
FL,Homestead,34790
FL,Homestead,29096
FL,Miami Lakes,49493
FL,Hialeah,41826
FL,Miami,0
FL,Miami,86375
FL,Miami,63628
FL,Coral Springs,117346
FL,Miami,49313
FL,Miami,60131
FL,Miami,70993
FL,Miami,80320
FL,Homestead,11666
FL,Tavernier,75291
FL,Summerland Key,74539
FL,Key West,72338
FL,Fernandina Beach,81768
FL,Laurel Hill,53775
FL,Coral Springs,62358
FL,Niceville,93066
FL,Fort Walton Beach,55098
FL,Fort Walton Beach,46408
FL,Fort Walton Beach,0
FL,Okeechobee,42244
FL,Orlando,58011
FL,Orlando,65140
FL,Orlando,79458
FL,Orlando,32346
FL,Orlando,64623
FL,Coral Springs,82131
FL,Belle Isle,86841
FL,Orlando,39199
FL,Orlando,89668
FL,Orlando,55204
FL,Orlando,61619
FL,Winter Park,149002
FL,Orlando,43220
FL,Orlando,86150
FL,Ft Lauderdale,45108
FL,Orlando,68679
FL,Coral Springs,83249
FL,Orlando,59670
FL,Orlando,63933
FL,Orlando,129509
FL,Apopka,67051
FL,Zellwood,53372
FL,Ocoee,0
FL,Kissimmee,43237
FL,Kissimmee,65001
FL,Saint Cloud,125001
FL,Saint Cloud,68492
FL,North Lauderdale,57076
FL,Jupiter,81748
FL,Jupiter,73157
FL,Palm Beach Gardens,58496
FL,Lake Park,53333
FL,West Palm Beach,49913
FL,West Palm Beach,29482
FL,West Palm Beach,35369
FL,West Palm Beach,45722
FL,West Palm Beach,56194
FL,Palm Springs,54611
FL,Alachua,72071
FL,Pompano Beach,42673
FL,Greenacres,50322
FL,Greenacres,56223
FL,Lake Worth,38822
FL,Lantana,53072
FL,Lantana,44965
FL,Boynton Beach,67380
FL,Delray Beach,79852
FL,Boynton Beach,92955
FL,Boynton Beach,96253
FL,Delray Beach,88797
FL,Margate,52992
FL,Delray Beach,46715
FL,Boca Raton,108799
FL,Delray Beach,95563
FL,Boca Raton,82109
FL,Boca Raton,76692
FL,Wellington,116018
FL,Boca Raton,67803
FL,Boca Raton,87916
FL,West Palm Beach,132911
FL,Royal Palm Beach,67714
FL,Pompano Beach,76804
FL,Palm Beach Gardens,89094
FL,Loxahatchee,86577
FL,Belle Glade,47039
FL,Hudson,46646
FL,Holiday,41855
FL,Holiday,39824
FL,Port Richey,28449
FL,Port Richey,36902
FL,New Port Richey,35258
FL,Trinity,75685
FL,Oakland Park,92142
FL,New Port Richey,62740
FL,Clearwater,71416
FL,Wesley Chapel,78356
FL,Wesley Chapel,95908
FL,Dade City,39060
FL,Zephyrhills,45503
FL,Zephyrhills,42647
FL,St Petersburg,77314
FL,St Petersburg,37889
FL,St Petersburg,54796
FL,Fort Lauderdale,90551
FL,St Petersburg,51297
FL,St Petersburg,57524
FL,St Petersburg,62389
FL,Largo,62675
FL,St Petersburg,35343
FL,Pinellas Park,54348
FL,Pinellas Park,64629
FL,Seminole,76068
FL,Largo,71679
FL,Largo,34757
FL,Fort Lauderdale,32583
FL,Clearwater,51628
FL,Largo,47152
FL,Clearwater,47216
FL,Clearwater,97818
FL,Palm Harbor,80940
FL,Dunedin,39833
FL,Dunedin,52057
FL,Oldsmar,65383
FL,Tarpon Springs,64124
FL,Madeira Beach,70549
FL,Fort Lauderdale,72177
FL,St Petersburg,47985
FL,Lakeland,40825
FL,Lakeland,36644
FL,Lakeland,59750
FL,Lakeland,101199
FL,Lakeland,86813
FL,Lakeland,68414
FL,Lakeland,49135
FL,Kissimmee,56869
FL,Davenport,56977
FL,Ft Lauderdale,73629
FL,Auburndale,95729
FL,Winter Haven,49849
FL,Haines City,51160
FL,Lake Wales,62412
FL,Lakeland,49760
FL,Lake Wales,45047
FL,Bowling Green,43710
FL,Palatka,45549
FL,Palatka,0
FL,Ponte Vedra Beach,67812
FL,Lauderdale Lakes,41149
FL,Saint Johns,130675
FL,St Augustine,89678
FL,Saint Johns,0
FL,Fort Pierce,27399
FL,Port St Lucie,56316
FL,Port St Lucie,55599
FL,Ft. Lauderdale,82281
FL,Milton,60811
FL,Pace,59298
FL,Navarre,75247
FL,Oakland Park,48216
FL,Sarasota,42560
FL,Sarasota,84179
FL,Sarasota,84589
FL,Sarasota,63854
FL,Sarasota,109358
FL,Sarasota,80795
FL,Venice,56314
FL,Englewood,56813
FL,Englewood,74822
FL,Sanford,60234
FL,Gainesville,49217
FL,North Lauderdale,41237
FL,Lake Mary,97786
FL,Sanford,39104
FL,Sanford,85183
FL,Oviedo,64256
FL,Apopka,59194
FL,Altamonte Springs,54290
FL,Longwood,46040
FL,Winter Park,68542
FL,Bushnell,48152
FL,The Villages,63997
FL,Sunrise,90445
FL,Perry,52154
FL,Ormond Beach,51832
FL,Ormond Beach,58659
FL,Daytona Beach,30936
FL,South Daytona,44815
FL,Port Orange,56187
FL,New Smyrna Beach,65044
FL,Edgewater,54421
FL,Pierson,58420
FL,Deland,59441
FL,Plantation,40738
FL,Debary,67961
FL,Deltona,53891
FL,Daytona Beach,42994
FL,Defuniak Springs,41182
FL,Chipley,46034
FL,Gainesville,16482
FL,Gainesville,42888
FL,Gainesville,64930
FL,Gainesville,0
FL,Gainesville,76106
FL,Lauderhill,30750
FL,Gainesville,49068
FL,Gainesville,29191
FL,Gainesville,24249
FL,Alachua,84814
FL,High Springs,44916
FL,Gainesville,31650
FL,Hawthorne,62353
FL,Newberry,121808
FL,Gainesville,108604
FL,Newberry,54486
FL,Sunrise,51301
FL,Gainesville,80506
FL,Glen St Mary,45447
FL,Youngstown,36839
FL,Panama City,40465
FL,Panama City,60930
FL,Panama City,78161
FL,Lynn Haven,35894
FL,Panama City,73658
FL,Panama City,82936
FL,Panama City,44335
FL,Plantation,107923
FL,Panama City Beach,54855
FL,Panama City Beach,41743
FL,Panama City Beach,49163
FL,Starke,64434
FL,Mims,67463
FL,Mims,55056
FL,Titusville,65883
FL,Titusville,71916
FL,Cocoa,96617
FL,Cocoa,76779
FL,Davie,116368
FL,Cocoa,37342
FL,Cocoa,27710
FL,Rockledge,63868
FL,Viera,76624
FL,Melbourne,54744
FL,Melbourne,100443
FL,Melbourne,66797
FL,West Melbourne,55369
FL,Melbourne,49638
FL,West Melbourne,63045
FL,Weston,116252
FL,Palm Bay,41232
FL,Melbourne,26278
FL,Palm Bay,64885
FL,Sebastian,37595
FL,Palm Bay,74436
FL,Indian Harbour Beach,77906
FL,Satellite Beach,81821
FL,Cocoa Beach,97102
FL,Cape Canaveral,63617
FL,Merritt Island,89031
FL,Cooper City,126804
FL,Merritt Island,87367
FL,Merritt Island,29838
FL,Palm Bay,43122
FL,Palm Bay,33019
FL,Palm Bay,55066
FL,Rockledge,81978
FL,Deerfield Beach,67210
FL,Deerfield Beach,41455
FL,Deerfield Beach,66283
FL,Pompano Beach,50778
FL,Dania Beach,69836
FL,Coral Springs,150858
FL,Coral Springs,119477
FL,Coconut Creek,47168
FL,Pompano Beach,26114
FL,Margate,28075
FL,Coral Springs,61664
FL,Margate,44533
FL,Coral Springs,65350
FL,Coral Springs,40292
FL,Coral Springs,118440
FL,Archer,86873
FL,Hollywood,33011
FL,Coral Springs,56057
FL,North Lauderdale,39493
FL,Tamarac,36695
FL,North Lauderdale,39369
FL,Pompano Beach,123795
FL,Pompano Beach,44063
FL,Pompano Beach,31313
FL,Margate,50442
FL,Pompano Beach,57402
FL,Pompano Beach,74931
FL,Hollywood,69450
FL,Pompano Beach,73169
FL,Ft. Lauderdale,58911
FL,Fort Lauderdale,62756
FL,Fort Lauderdale,102064
FL,Fort Lauderdale,69913
FL,Fort Lauderdale,42161
FL,Lauderhill,51297
FL,Fort Lauderdale,21331
FL,Fort Lauderdale,76485
FL,Fort Lauderdale,95658
FL,Miramar,49941
FL,Fort Lauderdale,70637
FL,Fort Lauderdale,64803
FL,Fort Lauderdale,32931
FL,Fort Lauderdale,52011
FL,Ft. Lauderdale,38153
FL,Ft Lauderdale,40787
FL,Lauderhill,38833
FL,Oakland Park,62229
FL,Fort Lauderdale,81971
FL,Oakland Park,41108
FL,Hallandale Beach,60770
FL,Wilton Manors,73885
FL,North Lauderdale,38978
FL,Sunrise,73103
FL,Sunrise,65604
FL,Sunrise,96716
FL,Lauderhill,57533
FL,Plantation,37642
FL,Sunrise,59591
FL,Sunrise,35523
FL,Lauderhill,52343
FL,West Park,45120
FL,Plantation,89873
FL,Plantation,65196
FL,Plantation,74125
FL,Plantation,108227
FL,Ft Lauderdale,54152
FL,Davie,141387
FL,Plantation,62131
FL,Davie,45443
FL,Weston,112109
FL,Southwest Ranches,156828
FL,Pembroke Pines,70035
FL,Weston,60718
FL,Cooper City,104804
FL,Cooper City,134329
FL,Dania Beach,55257
FL,Hollywood,28477
FL,Hollywood,36467
FL,Dania Beach,63589
FL,Hollywood,31645
FL,Hollywood,107574
FL,Hollywood,46454
FL,Miramar,101081
FL,Hollywood,72230
FL,Hollywood,50395
FL,Hollywood,55100
FL,Hollywood,47080
FL,Hollywood,55838
FL,Hollywood,122738
FL,Hallandale Beach,32411
FL,Hallandale Beach,34733
FL,West Park,52147
FL,Pembroke Pines,72579
FL,Pembroke Pines,66885
FL,Pembroke Pines,90136
FL,Pembroke Pines,64579
FL,Miramar,82267
FL,Hialeah,37269
FL,Miramar,125591
FL,Pembroke Pines,89354
FL,Pembroke Pines,22650
FL,Pembroke Pines,67341
FL,Miramar,118234
FL,Miramar,47911
FL,Miramar,60707
FL,Clarksville,47372
FL,Pt Charlotte,55513
FL,Punta Gorda,83924
FL,Punta Gorda,65700
FL,Pt Charlotte,70683
FL,Port Charlotte,47931
FL,Port Charlotte,45317
FL,Port Charlotte,87201
FL,Port Charlotte,30287
FL,Port Charlotte,53533
FL,Punta Gorda,48724
FL,Englewood,43482
FL,Rotonda West,77971
FL,Citrus Springs,43255
FL,Hernando,30368
FL,Citrus Springs,68865
FL,Homosassa,45391
FL,Hernando,64891
FL,Inverness,60052
FL,Floral City,36894
FL,Lecanto,35993
FL,Glen St Mary,67404
FL,Port Charlotte,57650
FL,Homosassa,35127
FL,Middleburg,63066
FL,Orange Park,54820
FL,Orange Park,50632
FL,Orange Park,69705
FL,Middleburg,68032
FL,Orange Park,72563
FL,Keystone Heights,49269
FL,Orange Park,41849
FL,Naples,92865
FL,Port Charlotte,39428
FL,Naples,102890
FL,Naples,87073
FL,Naples,73636
FL,Naples,95546
FL,Naples,97330
FL,Naples,58153
FL,Naples,46406
FL,Naples,67851
FL,Naples,73535
FL,Naples,53567
FL,Englewood,51875
FL,Naples,57004
FL,Naples,76309
FL,Naples,50403
FL,Naples,50742
FL,Marco Island,111281
FL,Naples,71584
FL,Immokalee,90483
FL,Immokalee,52837
FL,White Springs,64677
FL,Lake City,48348
FL,Hernando,31449
FL,Lake City,64372
FL,Lake City,52993
FL,Arcadia,45427
FL,Arcadia,44924
FL,Arcadia,55432
FL,Cross City,30440
FL,Jacksonville,22488
FL,Jacksonville,36789
FL,Jacksonville,13508
FL,Jacksonville,28669
FL,Hernando,41504
FL,Jacksonville,14176
FL,Jacksonville,81222
FL,Jacksonville,29674
FL,Jacksonville,35514
FL,Jacksonville,24263
FL,Jacksonville,79254
FL,Jacksonville,69933
FL,Jacksonville,33914
FL,Jacksonville,37429
FL,Jacksonville,49376
FL,Lecanto,36954
FL,Jacksonville,36465
FL,Jacksonville,43518
FL,Jacksonville,95659
FL,Jacksonville,44968
FL,Jacksonville,32234
FL,Jacksonville,59115
FL,Jacksonville,137546
FL,Jacksonville,42575
FL,Jacksonville,50329
FL,Jacksonville,62996
FL,Orange Park,93520
FL,Jacksonville,66633
FL,Atlantic Beach,40672
FL,Jacksonville Beach,68422
FL,Jacksonville,115258
FL,Jacksonville,83216
FL,Jacksonville,77625
FL,Jacksonville,107650
FL,Jacksonville,52731
FL,Jacksonville Beach,59347
FL,Jacksonville,81834
FL,Orange Park,83201
FL,Jacksonville,55744
FL,Jacksonville,56366
FL,Jacksonville,78139
FL,Jacksonville,70283
FL,Jacksonville,29134
FL,Jacksonville,74636
FL,Jacksonville,48502
FL,Jacksonville,57604
FL,Jacksonville,62334
FL,Jacksonville,26764
FL,Keystone Heights,52216
FL,Jacksonville,69841
FL,Jacksonville,55848
FL,Orange Park,99207
FL,Jacksonville,90677
FL,Baldwin,40461
FL,Pensacola,33986
FL,Pensacola,54750
FL,Pensacola,50382
FL,Pensacola,61810
FL,Pensacola,52623
FL,Naples,123922
FL,Pensacola,26327
FL,Pensacola,32286
FL,Pensacola,57014
FL,Pensacola,61294
FL,Pensacola,38423
FL,Pensacola,48864
FL,Pensacola,36323
FL,Pensacola,66298
FL,Pensacola,54253
FL,Pensacola,45076
FL,Panama City,55071
FL,Naples,75644
FL,Pensacola,52029
FL,Pensacola,66674
FL,Cantonment,91005
FL,Walnut Hill,49882
FL,Palm Coast,60837
FL,Palm Coast,58905
FL,Crescent City,39994
FL,Palm Coast,59893
FL,Palm Coast,60703
FL,Sopchoppy,33351
FL,Naples,63119
FL,Apalachicola,54845
FL,Quincy,59416
FL,Quincy,49356
FL,Quincy,47177
FL,Old Town,59472
FL,Labelle,46210
FL,Wewahitchka,48055
FL,Port St Joe,52512
FL,Jennings,33827
FL,Wauchula,53139
FL,Naples,96878
FL,Wauchula,87953
FL,Clewiston,46491
FL,Labelle,49522
FL,Webster,50095
FL,Clearwater,59496
FL,Weeki Wachee,45666
FL,Brooksville,63962
FL,Spring Hill,60325
FL,Spring Hill,75289
FL,Spring Hill,47826
FL,Naples,54181
FL,Spring Hill,43740
FL,Spring Hill,33654
FL,Spring Hill,40597
FL,Spring Hill,46357
FL,Avon Park,52134
FL,Avon Park,31486
FL,Sebring,56143
FL,Sebring,43373
FL,Sebring,22288
FL,Sebring,39449
FL,Naples,69667
FL,Lake Placid,38802
FL,Lake Placid,40564
FL,Temple Terrace,25388
FL,Tampa,31109
FL,Tampa,47500
FL,Tampa,37735
FL,Tampa,22762
FL,Tampa,22305
FL,Tampa,70704
FL,Tampa,37857
FL,Naples,74668
FL,Tampa,40202
FL,Tampa,42789
FL,Tampa,27101
FL,Tampa,50374
FL,Tampa,28485
FL,Tampa,37936
FL,Tampa,33961
FL,Tampa,11573
FL,Tampa,73462
FL,Tampa,55720
FL,White Springs,46481
FL,Tampa,67006
FL,Tampa,113069
FL,Tampa,58746
FL,Tampa,87710
FL,Tampa,87241
FL,Tampa,74206
FL,Tampa,121313
FL,Tampa,48082
FL,Tampa,111621
FL,Tampa,54417
FL,Fort White,53918
FL,Tampa,41217
FL,Tampa,85922
FL,Plant City,58908
FL,Tampa,109145
FL,Tampa,52535
FL,Thonotosassa,40613
FL,Temple Terrace,44582
FL,Tampa,36819
FL,Temple Terrace,37383
FL,Temple Terrace,33784
FL,Cross City,50640
FL,Tampa,44572
FL,Tampa,24917
FL,Lutz,73313
FL,Tampa,38460
FL,Tampa,36347
FL,Tampa,97543
FL,Tampa,59533
FL,Tampa,44282
FL,Tampa,72108
FL,Tampa,75922
FL,Jacksonville,18078
FL,Tampa,56830
FL,Tampa,108261
FL,Lutz,102919
FL,Tampa,80388
FL,Lutz,150589
FL,Tampa,57526
FL,Tampa,45212
FL,Tampa,20680
FL,Tampa,58912
FL,Tampa,49534
FL,Lynn Haven,69407
FL,Jacksonville,76745
FL,Tampa,46445
FL,Tampa,34055
FL,Tampa,56148
FL,Tampa,51947
FL,Tampa,53164
FL,Seffner,60763
FL,Seffner,81474
FL,Valrico,55703
FL,Brandon,64090
FL,Dover,43373
FL,Jacksonville,26750
FL,Plant City,49972
FL,Plant City,58573
FL,Plant City,57782
FL,Valrico,42533
FL,Valrico,119178
FL,Brandon,88928
FL,Brandon,77985
FL,Brandon,55946
FL,Brandon,118797
FL,Valrico,67817
FL,Jacksonville,43097
FL,Tampa,54220
FL,Riverview,52808
FL,Gibsonton,38049
FL,Wimauma,42921
FL,Riverview,90617
FL,Lithia,119950
FL,Ruskin,55068
FL,Wimauma,63626
FL,Ruskin,44678
FL,Tampa,78222
FL,Jacksonville,40094
FL,Ponce De Leon,54232
FL,Bonifay,36582
FL,Vero Beach,69238
FL,Vero Beach,53455
FL,Vero Beach,110404
FL,Vero Beach,68218
FL,Vero Beach,47987
FL,Vero Beach,88747
FL,Vero Beach,107638
FL,Sebastian,43300
FL,Jacksonville,33850
FL,Fellsmere,64742
FL,Graceville,41525
FL,Marianna,43026
FL,Marianna,47558
FL,Marianna,41979
FL,Monticello,69011
FL,Paisley,37366
FL,Paisley,35866
FL,Eustis,33798
FL,Leesburg,74368
FL,Jacksonville,57216
FL,Leesburg,39235
FL,Lady Lake,55756
FL,Leesburg,42687
FL,Leesburg,37354
FL,Tavares,37847
FL,Sorrento,75879
FL,Mount Dora,60690
FL,Leesburg,60261
FL,Mascotte,61493
FL,Clermont,50411
FL,Jacksonville,50294
FL,Clermont,101562
FL,Fort Myers,24300
FL,Fort Myers,44123
FL,Fort Myers,27537
FL,Fort Myers,80581
FL,Fort Myers,27692
FL,Fort Myers,86248
FL,Ft Myers,46009
FL,Fort Myers,43522
FL,Fort Myers,54965
FL,Atlantic Beach,42674
FL,Fort Myers,49171
FL,Fort Myers,70705
FL,Fort Myers Beach,54302
FL,Fort Myers,75223
FL,Cape Coral,77749
FL,Cape Coral,82167
FL,Cape Coral,54926
FL,North Fort Myers,54210
