state,cityname,mean_household_income
AL,Hoover,128915
AL,Hoover,115904
AL,Vernon,48082
AL,Sheffield,19898
AL,Florence,28404
AL,Florence,45871
AL,Florence,66925
AL,Florence,58520
AL,Florence,65375
AL,Gadsden,34479
AL,Killen,85950
AL,Rogersville,53050
AL,Town Creek,49453
AL,Trinity,50558
AL,Mt Hope,49474
AL,Auburn,82357
AL,Auburn,34498
AL,Auburn,44489
AL,Opelika,71907
AL,Opelika,60292
AL,Gadsden,40819
AL,Salem,56743
AL,Smiths Station,42186
AL,Athens,84102
AL,Elkmont,52624
AL,Athens,43849
AL,Athens,80593
AL,Madison,101327
AL,Fort Deposit,63560
AL,Tuskegee Institute,50328
AL,Shorter,43995
AL,Glencoe,53767
AL,Huntsville,47407
AL,Huntsville,38058
AL,Huntsville,57474
AL,Huntsville,53441
AL,Huntsville,49178
AL,Huntsville,93252
AL,Huntsville,23273
AL,Huntsville,37494
AL,Huntsville,77007
AL,Huntsville,79876
AL,Fayette,48781
AL,Huntsville,83331
AL,New Market,64802
AL,New Market,56419
AL,Madison,75746
AL,Harvest,80729
AL,Huntsville,58474
AL,Madison,134609
AL,Madison,79792
AL,Owens Cross Roads,65716
AL,Linden,32346
AL,Red Bay,36970
AL,Dixons Mills,48416
AL,Linden,47449
AL,Hamilton,50049
AL,Guin,31017
AL,Grant,55987
AL,Union Grove,62677
AL,Arab,58478
AL,Guntersville,55796
AL,Albertville,61634
AL,Albertville,32765
AL,Eutaw,30928
AL,Boaz,77080
AL,Mobile,23700
AL,Mobile,40489
AL,Mobile,46053
AL,Mobile,36931
AL,Mobile,38383
AL,Mobile,50132
AL,Mobile,70996
AL,Mobile,42432
AL,Mobile,57689
AL,Abbeville,40518
AL,Mobile,35468
AL,Mobile,49698
AL,Mobile,108483
AL,Mobile,58556
AL,Orange Beach,86000
AL,Mobile,64660
AL,Mobile,23955
AL,Whistler,24218
AL,Saraland,43803
AL,Mount Vernon,48595
AL,Wilmer,58182
AL,Dothan,75861
AL,Semmes,66912
AL,Mobile,98744
AL,Grand Bay,35313
AL,Irvington,51099
AL,Mobile,48721
AL,Mobile,63538
AL,Mobile,33457
AL,Bayou La Batre,0
AL,Monroeville,65025
AL,Uriah,33553
AL,Dothan,41374
AL,Montgomery,32307
AL,Montgmomery,52473
AL,Montgomery,14023
AL,Montgomery,51585
AL,Montgomery,47899
AL,Montgomery,43562
AL,Montgomery,33530
AL,Montgomery,24669
AL,Montgomery,102838
AL,Montgomery,48406
AL,Princeton,45068
AL,Montgomery,49593
AL,Montgomery,69004
AL,Montgomery,38679
AL,Montgomery,135664
AL,Montgomery,96002
AL,Pike Road,99568
AL,Montgomery,87238
AL,Montgomery,86272
AL,Hope Hull,48871
AL,Montgomery,55287
AL,Birmingham,31849
AL,Decatur,65126
AL,Decatur,44728
AL,Decatur,50662
AL,Decatur,45554
AL,Hartselle,78301
AL,Somerville,45167
AL,Eva,48190
AL,Marion,47317
AL,Gordo,52298
AL,Carrollton,26820
AL,Birmingham,31502
AL,Troy,55440
AL,Troy,38677
AL,Wedowee,44124
AL,Roanoke,56777
AL,Phenix City,26882
AL,Phenix City,47470
AL,Phenix City,30365
AL,Phenix City,33523
AL,Moody,63023
AL,Pell City,65548
AL,Birmingham,24534
AL,Ashville,55128
AL,Odenville,63437
AL,Hoover,60199
AL,Birmingham,133935
AL,Hoover,114188
AL,Pelham,61447
AL,Alabaster,47515
AL,Birmingham,124681
AL,Maylene,64499
AL,Montevallo,67471
AL,Birmingham,27306
AL,Alabaster,81035
AL,Alabaster,114805
AL,Wilsonville,67015
AL,Panola,30720
AL,Oxford,74941
AL,Talladega,45623
AL,Talladega,30518
AL,Childersburg,20842
AL,Sylacauga,56039
AL,Sylacauga,42395
AL,Birmingham,20724
AL,Alexander City,40286
AL,Dadeville,57732
AL,Dadeville,74831
AL,Tuscaloosa,126456
AL,Northport,77645
AL,Buhl,51913
AL,Tuscaloosa,125421
AL,Brookwood,54986
AL,Cottondale,58765
AL,Cottondale,48158
AL,Birmingham,53410
AL,Tuscaloosa,31061
AL,Tuscaloosa,28049
AL,Tuscaloosa,68542
AL,Tuscaloosa,29516
AL,Holt,44856
AL,Jasper,69796
AL,Jasper,48437
AL,Nauvoo,32015
AL,Oakman,49334
AL,Cordova,51500
AL,Bessemer,35707
AL,Sipsey,45265
AL,Leroy,45381
AL,Camden,28710
AL,Pine Apple,31636
AL,Louisville,36939
AL,Double Springs,39763
AL,Haleyville,36736
AL,Homewood,82907
AL,Leeds,42947
AL,Birmingham,72958
AL,Gardendale,64478
AL,Graysville,52012
AL,Irondale,62219
AL,Birmingham,140732
AL,Midfield,30586
AL,Bessemer,96563
AL,Hoover,118301
AL,Brent,50506
AL,Florence,40060
AL,Florence,59353
AL,Trinity,50843
AL,Auburn,40521
AL,Elmore,75875
AL,Opelika,30665
AL,Opelika,55067
AL,Athens,42963
AL,Hayneville,26622
AL,Tuskegee,36412
AL,Huntsville,42294
AL,Remlap,54667
AL,Huntsville,36376
AL,Huntsville,79587
AL,Huntsville,94067
AL,Huntsville,77787
AL,Huntsville,116068
AL,Madison,97765
AL,Dixons Mills,45191
AL,Winfield,56133
AL,Guntersville,43988
AL,Mobile,22203
AL,Georgiana,52208
AL,Mobile,55238
AL,Mobile,46324
AL,Mobile,28217
AL,Mobile,101118
AL,Mobile,0
AL,Mobile,71008
AL,Chickasaw,26337
AL,Semmes,48430
AL,Mobile,75214
AL,Mobile,43982
AL,Anniston,59980
AL,Prichard,25820
AL,Uriah,44326
AL,Montgomery,31018
AL,Montgomery,54451
AL,Montgomery,33100
AL,Montgomery,46649
AL,Montgmomery,30257
AL,Ramer,46816
AL,Decatur,23165
AL,Decatur,74890
AL,Jacksonville,54250
AL,Eva,54365
AL,Aliceville,34635
AL,Woodland,47083
AL,Phenix City,39045
AK,Alakanuk,40008
AK,Anderson,93374
AK,Barrow,94285
AK,Buckland,63175
AK,Chevak,51011
AK,Chuathbaluk,48313
AK,Copper Center,57085
AK,Dillingham,79728
AK,Eielson Afb,68267
AK,False Pass,71796
AK,Homer,76885
AK,Fairbanks,97802
AK,Healy,95667
AK,Hughes,47031
AK,Kaktovik,62545
AK,Kiana,58463
AK,Kodiak,74363
AK,Kwethluk,55482
AK,Ketchikan,0
AK,Mekoryuk,43471
AK,Haines,101864
AK,Allakaket,33847
AK,Noatak,65682
AK,Sheldon Point,58004
AK,Petersburg,79191
AK,Anchorage,77110
AK,Port Protection,39794
AK,St. George,67102
AK,Selawik,55786
AK,Skagway,81352
AK,Stevens Village,20652
AK,Tanana,51237
AK,Glennallen,0
AK,Unalakleet,73951
AK,Delta Junction,242857
AK,Ketchikan,97685
AK,Egegik,62733
AK,Wasilla,84692
AK,Wasilla,95014
AK,Kiana,58546
AK,Tok,54967
AK,Takotna,53751
AK,Anchorage,64869
AK,Chugiak,133300
AK,Eagle River,109312
AK,Anchorage,46024
AK,Anchorage,62940
AK,Anchorage,77951
AK,Anchorage,77947
AK,Anchorage,62693
AK,Anchorage,128395
AK,Anchorage,117755
AK,Anchorage,83006
AK,Anchorage,92042
AK,Anchorage,97885
AK,Anchorage,89946
AK,Anchorage,71733
AK,Anchorage,58345
AK,Anchorage,115266
AK,Anchorage,95568
AK,Anchorage,86400
AK,Anchorage,81726
AK,Anchorage,92426
AK,Anchorage,82394
AK,Anchorage,70573
AK,Anchorage,144635
AK,Girdwood,94928
AK,Bethel,90822
AK,Dillingham,92923
AK,Fairbanks,69802
AK,Fairbanks,61158
AK,Fairbanks,96348
AK,Fairbanks,84823
AK,North Pole,98668
AK,Fairbanks,72074
AK,Anchorage,97038
AK,Hoonah,65020
AK,Juneau,92293
AK,Juneau,81155
AK,Moose Pass,89805
AK,Kenai,66103
AK,Nikolaevsk,56071
AK,Fritz Creek,82980
AK,Ketchikan,75033
AK,Larsen Bay,84545
AK,Saint Mary's,49429
AK,Anchorage,159063
AK,Palmer,89437
AK,Wasilla,81463
AK,Wasilla,78371
AK,Wasilla,93393
AK,Palmer,96211
AK,Nome,96042
AK,Kiana,57070
AK,Petersburg,77876
AK,Metlakatla,69964
AK,Sitka,80041
AK,Fairbanks,57814
AK,Copper Center,50328
AK,Tatitlek,98618
AK,Huslia,40950
AK,Eagle River,100792
AK,Fairbanks,99901
AK,Hoonah,67572
AK,Sterling,81749
AZ,Sells,58579
AZ,Eloy,51765
AZ,Littlefield,56286
AZ,Bowie,35045
AZ,Tuba City,41489
AZ,Tucson,61934
AZ,Chinle,27046
AZ,Kingman,104815
AZ,Globe,112500
AZ,Globe,172052
AZ,Yuma,41087
AZ,Globe,98549
AZ,Polacca,39442
AZ,Flagstaff,122937
AZ,Gilbert,94418
AZ,Dolan Springs,0
AZ,Winkelman,39634
AZ,Holbrook,34976
AZ,Kayenta,40895
AZ,Kykotsmovi,38972
AZ,Littlefield,74202
AZ,Sells,25541
AZ,Dolan Springs,30685
AZ,Mohave Valley,49684
AZ,Temp,41648
AZ,Payson,53625
AZ,Payson,52431
AZ,Pima,55575
AZ,Douglas,23530
AZ,Somerton,25662
AZ,Tonto Basin,39704
AZ,Green Valley,77054
AZ,San Manuel,51403
AZ,Second Mesa,38280
AZ,Sierra Vista,69646
AZ,Eagar,45103
AZ,Surprise,55736
AZ,Roll,48130
AZ,Winslow,30660
AZ,Superior,72207
AZ,Page,54968
AZ,Cottonwood,56440
AZ,Wellton,38080
AZ,Ajo,56385
AZ,Mohave Valley,39957
AZ,Yarnell,36012
AZ,Gilbert,119002
AZ,Queen Creek,130704
AZ,Fountain Hills,50747
AZ,Morenci,76501
